Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority
Noorafshan Mirza,nocturnal Babylon,"£25,000",1-Feb-23,February,Q4,London,Tower Hamlets,Visual arts,"£30,000 and below",
Yvonne Harris-Hercules,"EP recording, release and tour project - Black Femininity & Songs inspired by Olive Morris","£29,688",1-Feb-23,February,Q4,South East,South Cambridgeshire,Music,"£30,000 and below",
Real Live Music,Real Live Music 2023,"£14,729",1-Feb-23,February,Q4,North,Carlisle,Music,"£30,000 and below",Supporting Grassroots Live Music
Platform4,New Forest/Alice Research and Development,"£29,800",1-Feb-23,February,Q4,South West,Winchester,Theatre,"£30,000 and below",
Sugar Stealers CIC,Sugar Stealers International Women's Day,"£30,000",31-Jan-23,January,Q4,Midlands,Nottingham,Combined arts,"£30,000 and below",
Jason Wilsher-Mills,Jason & his Argonauts go to Japan,"£48,740",31-Jan-23,January,Q4,Midlands,North Kesteven,Visual arts,"£30,000 and below",
Music For Everyone,Music for Everyone,"£25,795",31-Jan-23,January,Q4,Midlands,Nottingham,Music,"£30,000 and below",
Lincolnshire Music Service,Creativity Hive Mini,"£21,960",31-Jan-23,January,Q4,Midlands,Lincoln,Not discipline specific,"£30,000 and below",
SAND,SAND Portraits (working title),"£9,500",31-Jan-23,January,Q4,Midlands,Shropshire,Visual arts,"£30,000 and below",
CHERWELL THEATRE COMPANY,The Tell Your Story Festival,"£30,000",31-Jan-23,January,Q4,Midlands,West Northamptonshire,Theatre,"£30,000 and below",
-,-,"£24,910",30-Jan-23,January,Q4,South West,South Gloucestershire,Music,"£30,000 and below",Supporting Grassroots Live Music
Rebecca Prentice,30 and Out (2),"£24,000",26-Jan-23,January,Q4,London,Camden,Theatre,"£30,000 and below",
Lazarus Theatre Company Limited,Othello (Young People),"£30,000",26-Jan-23,January,Q4,London,Greenwich,Theatre,"£30,000 and below",
Patricia Cumper,The Amplify Project Series 2,"£56,454",26-Jan-23,January,Q4,South East,North Hertfordshire,Literature,"Above £30,000",
Julia Masli,CHOOSH! Touring & workshops,"£13,000",26-Jan-23,January,Q4,London,Haringey,Theatre,"£30,000 and below",
Primadonna Festival,Primadonna 2023,"£55,000",26-Jan-23,January,Q4,South East,Mid Suffolk,Literature,"Above £30,000",
Boudica,Boudica Record Label - Second Release,"£25,503",26-Jan-23,January,Q4,London,Hackney,Music,"£30,000 and below",
Tracing Movement Life,"START UP/Pas De 1,2,3,4 - Queer Ballet","£33,395",26-Jan-23,January,Q4,London,Greenwich,Dance,"£30,000 and below",
Camille Baker,Mammary Mountain,"£40,000",26-Jan-23,January,Q4,South East,Crawley,Combined arts,"Above £30,000",
Sasha Galitzine,Touch,"£30,000",26-Jan-23,January,Q4,London,Kensington and Chelsea,Combined arts,"£30,000 and below",
Burnt Orange Theatre,Hear Me Now 2023,"£6,575",26-Jan-23,January,Q4,London,Hammersmith and Fulham,Theatre,"£30,000 and below",
Hannah Aria,Neurodelicious Lift Off,"£30,073",25-Jan-23,January,Q4,South East,Ipswich,Theatre,"£30,000 and below",
Cohere Arts CIC,Sutton Hoo R&D,"£7,600",25-Jan-23,January,Q4,South East,East Suffolk,Theatre,"£30,000 and below",
Tangled Dance Company,Re-submission; The Curious Curiosity Shop,"£30,000",25-Jan-23,January,Q4,North,Bury,Dance,"£30,000 and below",
tiny dragon Productions,"I, DANIEL BLAKE","£30,000",25-Jan-23,January,Q4,North,Newcastle upon Tyne,Theatre,"£30,000 and below",
Ruby Tingle,Afterlife Exhibition at the Whitaker,"£24,472",25-Jan-23,January,Q4,North,Trafford,Combined arts,"£30,000 and below",
New Visuality,"Better Wheels, More Access","£7,600",25-Jan-23,January,Q4,North,York,Visual arts,"£30,000 and below",
Sarah Kelly,Savage Heart UK Tour 2023,"£24,789",25-Jan-23,January,Q4,South East,Norwich,Theatre,"£30,000 and below",
Incubating Arts CIC,Art Doctors in Libraries,"£29,520",25-Jan-23,January,Q4,North,Leeds,Combined arts,"£30,000 and below",
Laundry,Celebrate and Create,"£27,650",25-Jan-23,January,Q4,Midlands,Sandwell,Combined arts,"£30,000 and below",
Sohaya Visions,Agathe,"£25,428",25-Jan-23,January,Q4,South East,Crawley,Theatre,"£30,000 and below",
Jonathan McGrath,The Heart Watches While the Brain Burns,"£12,810",25-Jan-23,January,Q4,North,Trafford,Theatre,"£30,000 and below",
Arts Education Exchange,Tonetic Records 2023,"£30,000",25-Jan-23,January,Q4,South East,Thanet,Music,"£30,000 and below",
Arts on the Run: The Arts & Refugees Hub for Yorkshire & Humberside,Migration Matters Festival 2023,"£94,000",25-Jan-23,January,Q4,North,Sheffield,Combined arts,"Above £30,000",
Tate Liverpool,Art Explora Mobile Museum with Tate Liverpool,"£29,880",25-Jan-23,January,Q4,North,Liverpool,Visual arts,"£30,000 and below",
James Wilton Dance Limited,Research and development in Eastbourne,"£21,000",25-Jan-23,January,Q4,South West,Mid Sussex,Dance,"£30,000 and below",
Bolton Council,Going to the Match: LS Lowry in Bolton,"£14,245",25-Jan-23,January,Q4,North,Bolton,Museums,"£30,000 and below",
Museums Worcestershire - Worcester City Art Gallery and Museum,Museum Voices,"£79,500",25-Jan-23,January,Q4,Midlands,Worcester,Museums,"Above £30,000",Unlocking Collections
Mafwa Theatre CIC,Flourish,"£57,072",25-Jan-23,January,Q4,North,Leeds,Theatre,"Above £30,000",
Hazel Lam,Lighthouse tour and Light Vessel avant premiere,"£28,320",25-Jan-23,January,Q4,South East,Brentwood,Combined arts,"£30,000 and below",
Sid Akbar,F***(Sod) What Other People Think,"£27,275",25-Jan-23,January,Q4,North,Bradford,Theatre,"£30,000 and below",
Turntable Gallery,Turntable Gallery Programme 2023,"£28,623",25-Jan-23,January,Q4,North,North East Lincolnshire,Visual arts,"£30,000 and below",
Willoughby Road Allotment Association,Growing Art 2023,"£29,633",25-Jan-23,January,Q4,Midlands,Boston,Visual arts,"£30,000 and below",
Loop Dance Company,Encounters Tour 2023,"£27,465",25-Jan-23,January,Q4,South East,Medway,Dance,"£30,000 and below",
Sudden Productions,Urban Theatre Project: HAWKESLEY,"£7,263",25-Jan-23,January,Q4,Midlands,Birmingham,Theatre,"£30,000 and below",
Acoustic Nations Ltd,"HOMEGROWN: artist support, professional development & debut gigs for emerging musicians in Lincolnshire","£27,475",25-Jan-23,January,Q4,Midlands,Lincoln,Music,"£30,000 and below",Supporting Grassroots Live Music
Luke Dankoff,Contradicktion Script Development,"£13,508",25-Jan-23,January,Q4,North,"Kingston upon Hull, City of",Theatre,"£30,000 and below",
Pier Projects Art Agency CIC,On Convalescence,"£13,015",25-Jan-23,January,Q4,South East,West Suffolk,Visual arts,"£30,000 and below",
Bella Milroy,Further Afield,"£33,024",25-Jan-23,January,Q4,Midlands,Chesterfield,Visual arts,"£30,000 and below",
Buglight Theatre,CREATION & PILOT TOUR - GLOW 2023 (resubmission x 3),"£47,938",25-Jan-23,January,Q4,North,Doncaster,Theatre,"Above £30,000",
1623 theatre company,Queer Folio R and D Stage 1,"£86,295",25-Jan-23,January,Q4,Midlands,Derby,Theatre,"Above £30,000",
Fin Kennedy,Museum of Stories: Bury Park Luton,"£29,978",25-Jan-23,January,Q4,South East,St Albans,Theatre,"£30,000 and below",
Nonsuch Theatre,Audience Development: Priority Groups & New Audiences,"£30,000",25-Jan-23,January,Q4,Midlands,Nottingham,Theatre,"£30,000 and below",
East Leeds Project,Piloting a Community-led Makerspace in East Leeds,"£28,260",25-Jan-23,January,Q4,North,Leeds,Combined arts,"£30,000 and below",
Stealing Thunder,Stealing Thunder Storytelling Festival,"£18,869",25-Jan-23,January,Q4,North,South Lakeland,Literature,"£30,000 and below",
Dewi Ariati,Kabaret Nusantara: cultivating & celebrating Indonesian dance,"£10,276",25-Jan-23,January,Q4,South East,Cherwell,Dance,"£30,000 and below",
Gerard Headley,(HOMO) Sapiens,"£16,683",25-Jan-23,January,Q4,North,Leeds,Dance,"£30,000 and below",
Susan Crothers,Less Alone More Alive -- Phase 2,"£13,410",25-Jan-23,January,Q4,South East,Thanet,Theatre,"£30,000 and below",
Ensonglopedia,The Puddle at the End of the World,"£29,921",25-Jan-23,January,Q4,South East,Lewes,Theatre,"£30,000 and below",
Julia Snowdin Ltd,Installations for families with additional needs,"£29,973",25-Jan-23,January,Q4,Midlands,Coventry,Visual arts,"£30,000 and below",
Michael Rust,Forging Links,"£26,105",25-Jan-23,January,Q4,Midlands,Shropshire,Literature,"£30,000 and below",
Rosetta Life,STRICTLY COME CARING,"£29,500",25-Jan-23,January,Q4,South East,West Oxfordshire,Dance,"£30,000 and below",
The HandleBards,The HandleBards: Cycling Shakespeare,"£30,000",25-Jan-23,January,Q4,North,Wigan,Theatre,"£30,000 and below",
Curious Motion CIC,Welland in the Limelight,"£15,190",25-Jan-23,January,Q4,North,Calderdale,Combined arts,"£30,000 and below",
Uprawr Foundation,UPRAWR's Uprising,"£29,500",25-Jan-23,January,Q4,Midlands,Birmingham,Visual arts,"£30,000 and below",
Durham Singers,Magnificat 2023,"£1,000",25-Jan-23,January,Q4,North,County Durham,Music,"£30,000 and below",
Louise Orwin,FAMEHUNGRY R&D with Artist/Producer Development,"£23,769",25-Jan-23,January,Q4,London,Wealden,Theatre,"£30,000 and below",
Canal & River Trust,HINTERLANDS THREE: ENFIELD,"£96,530",25-Jan-23,January,Q4,North,Cheshire West and Chester,Combined arts,"Above £30,000",
Alina Orchestra,Alina Orchestra 2023,"£29,762",25-Jan-23,January,Q4,South East,Central Bedfordshire,Music,"£30,000 and below",
Catherine Hoffmann,Wormhole of my transformation,"£19,980",25-Jan-23,January,Q4,South East,Folkestone and Hythe,Theatre,"£30,000 and below",
Kingston Theatre Trust,Richard III,"£25,300",24-Jan-23,January,Q4,London,Kingston upon Thames,Theatre,"£30,000 and below",
Maatin Patel,DUCK - Development & Arcola Run,"£31,776",24-Jan-23,January,Q4,London,Islington,Theatre,"£30,000 and below",
Samantha Francis,Promenade,"£29,707",24-Jan-23,January,Q4,South West,North Somerset,Combined arts,"£30,000 and below",
Cathy Waller,Us: giving a voice to the invisible (resubmission),"£123,210",24-Jan-23,January,Q4,London,Lambeth,Dance,"Above £30,000",
Simon Roberts,Cut Cross Country,"£29,178",24-Jan-23,January,Q4,London,Camden,Music,"£30,000 and below",
Thomas Walker,Invisible Animal: Amplifying Autistic Voices,"£58,258",24-Jan-23,January,Q4,London,Haringey,Theatre,"Above £30,000",
Afro*disiac Live Radio,Bournemouth Reggae Weekender 2023,"£25,000",24-Jan-23,January,Q4,South West,"Bournemouth, Christchurch and Poole",Music,"£30,000 and below",
Dam Van Huynh,Resubmission - Sound Barrier - Completion,"£29,970",24-Jan-23,January,Q4,London,Tower Hamlets,Dance,"£30,000 and below",
What Now Productions,Come Out Fighting (Resubmission 4),"£16,145",24-Jan-23,January,Q4,South West,Cornwall,Theatre,"£30,000 and below",
Feltham Arts Association Limited,Festivals & Exhibitions Programme,"£28,932",24-Jan-23,January,Q4,London,Hounslow,Combined arts,"£30,000 and below",
Theo Clinkard Dance,Village R and D,"£27,680",24-Jan-23,January,Q4,North,Teignbridge,Dance,"£30,000 and below",
Ella Walsworth-Bell,Mordardh Surf Poetry,"£7,416",24-Jan-23,January,Q4,South West,Cornwall,Literature,"£30,000 and below",
Chaucer Cameron,Poetry Film in Conversation,"£12,053",24-Jan-23,January,Q4,South West,Wiltshire,Literature,"£30,000 and below",
Heather Bandenburg,WRESTIVAL 2023,"£22,572",24-Jan-23,January,Q4,London,Croydon,Theatre,"£30,000 and below",
SOC!ETY DANCE ACADEMY,Creating Society With Dance Youth Cultural Development Program,"£27,500",24-Jan-23,January,Q4,London,Ealing,Dance,"£30,000 and below",
Glastonbury Festivals,Glastonbury Arts Commissions 2023,"£29,750",24-Jan-23,January,Q4,South West,Mendip,Theatre,"£30,000 and below",
Fifth Word,WE NEED NEW NAMES World Premiere Production & Tour,"£68,644",23-Jan-23,January,Q4,Midlands,Derby,Theatre,"Above £30,000 - Over £30k Touring project",
The Pied Piper Theatre Company,Can Bears Ski?,"£72,611",23-Jan-23,January,Q4,South East,Waverley,Theatre,"Above £30,000 - Over £30k Touring project",
Gecko Theatre,Kin: regional touring and audience development programme,"£99,165",23-Jan-23,January,Q4,South East,Ipswich,Theatre,"Above £30,000 - Over £30k Touring project",
Talawa Theatre Company Ltd,Black Joy Season (Sustain),"£313,500",23-Jan-23,January,Q4,London,Croydon,Theatre,"Above £30,000 - Over £30k Touring project",
Paul Bradley-Cong,OOTP Network 2324,"£19,360",23-Jan-23,January,Q4,South West,"Bristol, City of",Literature,"£30,000 and below",
Fluid Motion Theatre Company,Emerging Talent Programme,"£29,000",23-Jan-23,January,Q4,South West,Basingstoke and Deane,Theatre,"£30,000 and below",
Neon Dance,Last & First Men R&D,"£55,338",23-Jan-23,January,Q4,South West,Swindon,Dance,"Above £30,000",
Contains Art CIO,Launching the Creative Quayside,"£9,900",23-Jan-23,January,Q4,South West,Somerset West and Taunton,Visual arts,"Above £15,000",
Stuff and Nonsense Theatre Company,Three Pigs Co Creation Making Grant,"£49,781",23-Jan-23,January,Q4,South West,Dorset,Theatre,"Above £30,000",
Stuart Waters,you-me-us-together: Radical audience engagement in Eastbourne,"£38,362",23-Jan-23,January,Q4,South East,Eastbourne,Dance,"£30,000 and below",
Creative Beings CIC,SCENSION - arising at Wells,"£6,960",23-Jan-23,January,Q4,South West,East Devon,Combined arts,"£30,000 and below",
The Bare Project,The People's Palace of Possibility,"£69,637",23-Jan-23,January,Q4,North,Sheffield,Theatre,"Above £30,000 - Over £30k Touring project",
Half a String,Breathe 2023 Touring,"£49,415",23-Jan-23,January,Q4,South East,Canterbury,Theatre,"Above £30,000 - Over £30k Touring project",
Action Hero,The Talent tour and audience development,"£38,237",23-Jan-23,January,Q4,South West,"Bristol, City of",Theatre,"Above £30,000 - Over £30k Touring project",
Golowan Festival Community Interest Company,Golowan Community Parades,"£10,000",23-Jan-23,January,Q4,South West,Cornwall,Combined arts,"£30,000 and below",
The Rush Theatre Company,Tour Extension for RUSH A Joyous Jamaican Journey,"£97,988",23-Jan-23,January,Q4,Midlands,Wolverhampton,Theatre,"Above £30,000 - Over £30k Touring project",
Callington Community Arts,Callington Mayfest 23,"£18,800",23-Jan-23,January,Q4,South West,Cornwall,Combined arts,"£30,000 and below",
Pilot Theatre Ltd,Noughts 4,"£130,000",23-Jan-23,January,Q4,North,York,Theatre,"Above £30,000 - Over £30k Touring project",
The Wardrobe Ensemble,Mog tour 2023,"£29,858",23-Jan-23,January,Q4,South West,North Somerset,Theatre,"£30,000 and below",
Sheffield Poetry Festival,Sheaf Poetry Festival 2023,"£29,740",18-Jan-23,January,Q4,North,Sheffield,Literature,"£30,000 and below",
Amy Gavin,The Settlers,"£20,570",18-Jan-23,January,Q4,North,Oldham,Theatre,"£30,000 and below",
Mcnicol Ballet Collective,Moonbend Creation & Devotions Pilot Tour,"£29,997",18-Jan-23,January,Q4,North,Kirklees,Dance,"£30,000 and below",
Christopher Moore,Middle Grade - inclusive stories / R&D,"£9,660",18-Jan-23,January,Q4,North,Manchester,Literature,"£30,000 and below",
Wild Geese Theatre Company,2023 - SPRING - Schools & Charities,"£30,000",18-Jan-23,January,Q4,North,East Riding of Yorkshire,Theatre,"£30,000 and below",
The Children's Art School,Little Makers,"£29,592",18-Jan-23,January,Q4,North,Kirklees,Visual arts,"£30,000 and below",
John Jenkinson,Jewellers Morecambe,"£9,929",18-Jan-23,January,Q4,North,Lancaster,Visual arts,"£30,000 and below",
Heajin Jun,I’m Sorry I’m Not Lucy Liu,"£33,674",18-Jan-23,January,Q4,London,Westminster,Theatre,"£30,000 and below",
Alice corrigan,PAST LIFE 2023,"£29,103",18-Jan-23,January,Q4,North,Wigan,Theatre,"£30,000 and below",
john powell-jones,WEB WIDE WORLD,"£12,575",18-Jan-23,January,Q4,North,Calderdale,Combined arts,"£30,000 and below",
Nuneaton & Bedworth Borough Council,N&B Place Partnership,"£750,000",18-Jan-23,January,Q4,Midlands,Nuneaton and Bedworth,Combined arts,"Above £30,000 - Place Partnership project",
Susanna Dye,"STIMMING: Participation, Research and Presentation","£33,000",18-Jan-23,January,Q4,London,Ealing,Dance,"£30,000 and below",
Arts Canteen,AWAN 2023 Festival: Arab Women Artists Now,"£29,999",18-Jan-23,January,Q4,London,Waltham Forest,Combined arts,"£30,000 and below",
Cheslav Singh,International Audiovisual Art Festival - LightSounds 2023,"£29,410",18-Jan-23,January,Q4,London,Hammersmith and Fulham,Combined arts,"£30,000 and below",
Hoylandswaine Arts Group,Moving forward with the Arts,"£2,950",18-Jan-23,January,Q4,North,Barnsley,Music,"£30,000 and below",Supporting Grassroots Live Music
Tobie Medland,Gypsy Jazz Festival of London 2023,"£9,330",18-Jan-23,January,Q4,London,Bromley,Music,"£30,000 and below",Supporting Grassroots Live Music
Elisabeth Williamson,Far Out,"£16,571",18-Jan-23,January,Q4,North,Manchester,Theatre,"£30,000 and below",
Hawk Dance Theatre,COLOURS- CYP Library/Rural R&D,"£27,250",18-Jan-23,January,Q4,North,Salford,Dance,"£30,000 and below",
Emma Kennedy,Play Up,"£20,678",18-Jan-23,January,Q4,North,Salford,Theatre,"£30,000 and below",
Bury Art Museum & Sculpture Centre,For Man is Coming Here,"£5,041",18-Jan-23,January,Q4,North,Bury,Visual arts,"£30,000 and below",
Ardent Theatre Company,STRIKE! Southwark Playhouse,"£27,913",18-Jan-23,January,Q4,London,Newham,Theatre,"£30,000 and below",
Art of the Puppet,Stage 2 of The Selfish Giant: focus on rural communities,"£29,136",18-Jan-23,January,Q4,London,Hackney,Theatre,"£30,000 and below",
Angela de Castro,Bigger and Shorter R&D Project,"£21,397",18-Jan-23,January,Q4,London,Lambeth,Theatre,"£30,000 and below",
